logic,feature_source,training_time_seconds,model_file,perf_csv,feature_csv
uflia,embeddings,1.4230,uflia_embeddings_model.joblib,uflia_train.csv,uflia_description_embeddings.csv
uflia,embeddings_combined,1.4262,uflia_embeddings_combined_model.joblib,uflia_train.csv,uflia_description_with_features_embeddings.csv
uflia,features,0.7482,uflia_features_model.joblib,uflia_train.csv,uflia_features_filtered.csv
uflia,features_embeddings,1.3711,uflia_features_embeddings_model.joblib,uflia_train.csv,uflia_feat+emb.csv
ufnia,embeddings,2.7703,ufnia_embeddings_model.joblib,ufnia_train.csv,ufnia_description_embeddings.csv
ufnia,embeddings_combined,2.8387,ufnia_embeddings_combined_model.joblib,ufnia_train.csv,ufnia_description_with_features_embeddings.csv
ufnia,features,0.8899,ufnia_features_model.joblib,ufnia_train.csv,ufnia_features_filtered.csv
ufnia,features_embeddings,2.8935,ufnia_features_embeddings_model.joblib,ufnia_train.csv,ufnia_feat+emb.csv
abv,embeddings,1.1788,abv_embeddings_model.joblib,abv_train.csv,abv_description_embeddings.csv
abv,embeddings_combined,1.1727,abv_embeddings_combined_model.joblib,abv_train.csv,abv_description_with_features_embeddings.csv
abv,features,0.6090,abv_features_model.joblib,abv_train.csv,abv_features_filtered.csv
abv,features_embeddings,1.0419,abv_features_embeddings_model.joblib,abv_train.csv,abv_feat+emb.csv
alia,embeddings,0.9249,alia_embeddings_model.joblib,alia_train.csv,alia_description_embeddings.csv
alia,embeddings_combined,0.9251,alia_embeddings_combined_model.joblib,alia_train.csv,alia_description_with_features_embeddings.csv
alia,features,0.5719,alia_features_model.joblib,alia_train.csv,alia_features_filtered.csv
alia,features_embeddings,0.8402,alia_features_embeddings_model.joblib,alia_train.csv,alia_feat+emb.csv
bv,embeddings,0.9090,bv_embeddings_model.joblib,bv_train.csv,bv_description_embeddings.csv
bv,embeddings_combined,0.9202,bv_embeddings_combined_model.joblib,bv_train.csv,bv_description_with_features_embeddings.csv
bv,features,0.5959,bv_features_model.joblib,bv_train.csv,bv_features_filtered.csv
bv,features_embeddings,0.8889,bv_features_embeddings_model.joblib,bv_train.csv,bv_feat+emb.csv
qf_idl,embeddings,1.0176,qf_idl_embeddings_model.joblib,qf_idl_train.csv,qf_idl_description_embeddings.csv
qf_idl,embeddings_combined,1.0449,qf_idl_embeddings_combined_model.joblib,qf_idl_train.csv,qf_idl_description_with_features_embeddings.csv
qf_idl,features,0.6412,qf_idl_features_model.joblib,qf_idl_train.csv,qf_idl_features_filtered.csv
qf_idl,features_embeddings,1.0065,qf_idl_features_embeddings_model.joblib,qf_idl_train.csv,qf_idl_feat+emb.csv
